listing_id,host_id,host_name,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,city,neighbourhood,district,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,amenity_score,number_of_reviews,review_scores_rating,license,instant_bookable,monthly_earning_€,type
50642087,188114842,Christian,0.33,0.0,F,0,0,F,Madrid,Valdeacederas,Tetuán,40.46743,-3.698,Private room,1,1,1,1,0,0,0.0,T,F,752.8125,airbnb
50649759,96247496,Ana,1.0,1.0,F,0,0,T,Madrid,Palomeras Sureste,Puente de Vallecas,40.37802,-3.65025,Entire place,2,1,1,0,3,12,4.92,T,F,784.9875,airbnb
50653270,127557666,Lydia,1.0,1.0,F,1,1,T,Madrid,Sol,Centro,40.41525,-3.7062,Entire place,3,1,1,1,1,7,4.43,T,T,1467.5925,airbnb
50655122,389229300,Gemma,0.95,0.91,F,3,3,T,Madrid,Cortes,Centro,40.41442,-3.70079,Entire place,4,2,2,3,3,0,0.0,T,T,2387.88,airbnb
50656672,678864,Mario G.,1.0,1.0,F,0,0,T,Madrid,Cuatro Caminos,Tetuán,40.45211,-3.69891,Private room,1,1,1,1,2,0,0.0,T,F,485.1,airbnb
50707396,57362881,David,1.0,1.0,T,1,1,T,Madrid,Universidad,Centro,40.42457,-3.70311,Private room,2,1,1,1,0,0,0.0,T,T,1558.8375,airbnb
50714579,37416334,Jorge,1.0,0.0,F,0,0,F,Madrid,Opañel,Carabanchel,40.39635,-3.71829,Private room,2,2,3,4,0,0,0.0,T,F,794.4749999999999,airbnb
50715193,53540319,Cris,0.9,0.97,F,0,0,T,Madrid,Universidad,Centro,40.42236,-3.70783,Entire place,5,1,2,3,2,3,4.67,T,T,1575.75,airbnb
50716251,15748073,Natalia,0.59,0.65,F,0,0,T,Madrid,Mirasierra,Fuencarral - El Pardo,40.48898,-3.70197,Entire place,6,4,4,4,2,0,0.0,T,T,2069.1,airbnb
50734279,76420580,Belinda,1.0,0.65,F,2,2,T,Madrid,Pueblo Nuevo,Ciudad Lineal,40.43453,-3.63894,Entire place,4,1,2,2,1,5,3.6,T,F,1053.9374999999998,airbnb
50739028,410032768,Raúl,1.0,1.0,F,1,1,T,Madrid,Sol,Centro,40.41525,-3.70597,Entire place,4,2,2,4,3,4,3.5,T,T,1133.42625,airbnb
50741515,410053980,Carmen Elvira,1.0,1.0,F,0,0,T,Madrid,Aguilas,Latina,40.3803,-3.7822,Private room,1,1,1,0,1,1,2.0,T,T,34.65,airbnb
50771859,107663190,Gloria,0.9,0.47,F,20,20,F,Madrid,Sol,Centro,40.41685,-3.70422,Entire place,6,1,1,5,2,1,4.0,T,F,811.8000000000001,airbnb
50774015,305660746,Peter,1.0,1.0,T,2,2,T,Madrid,Ciudad Universitaria,Moncloa - Aravaca,40.46479,-3.74852,Private room,2,1,1,1,1,3,5.0,T,F,2658.8571428571427,airbnb
50781629,349146780,Hge,0.91,0.99,F,29,29,T,Madrid,Embajadores,Centro,40.41324,-3.70336,Entire place,6,2,3,3,1,5,2.8,T,T,680.13,airbnb
50782298,45543320,Patricia,0.94,0.99,F,3,3,T,Madrid,Delicias,Arganzuela,40.4,-3.69418,Private room,2,1,1,2,2,9,4.78,T,T,686.4000000000001,airbnb
