id,host_id,host_name,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,city,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,price_€,room_type,accommodates,bathrooms,bedrooms,beds,lift,heating,aircon,exterior,garden,pool,terrace,balcony,storage,amenity_score,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,reviews_per_month
35149813,71149571,Jesús,0.0,0.0,F,1,1,T,Madrid,El Viso,Chamartín,40.43817,-3.68485,594.0,Private room,4,2,3,2,1,0,1,0,0,0,0,0,0,2,1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35175776,116217798,Cesar,1.0,0.98,T,3,3,T,Madrid,Palos de Moguer,Arganzuela,40.40479,-3.69276,74.25,Entire place,2,1,1,1,0,1,0,0,0,0,0,1,0,2,7,365,39,4.69,4.87,4.62,4.74,4.85,4.85,4.62,T,F,1.06
35150455,264729171,Maria,0.0,1.0,F,1,1,F,Madrid,Pilar,Fuencarral - El Pardo,40.47318,-3.71395,367.29,Entire place,4,1,1,1,1,0,1,0,0,0,0,0,0,2,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35150763,208344111,Jose,0.0,0.0,F,1,1,F,Madrid,Pinar del Rey,Hortaleza,40.4711,-3.65518,297.0,Private room,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35175794,122713093,Paola,0.9,0.78,F,1,1,T,Madrid,San Andrés,Villaverde,40.34161,-3.71677,148.5,Entire place,5,1,2,3,0,0,1,0,0,0,0,1,0,2,2,1125,6,4.83,4.67,4.83,5.0,5.0,4.0,4.5,T,F,0.18
35151346,10907182,Fabri,0.0,0.0,F,2,2,T,Madrid,Justicia,Centro,40.4236,-3.69982,59.4,Private room,2,1,1,1,0,0,0,0,0,0,0,0,0,0,3,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,F,0.0
35151407,303845,Arturo,1.0,1.0,F,2,2,T,Madrid,Justicia,Centro,40.42055,-3.69718,78.21,Private room,4,1,1,2,0,0,0,0,0,0,0,0,0,0,1,90,31,4.58,4.61,4.1,4.87,4.84,4.97,4.32,T,T,0.94
35151542,264735500,Luis Juan,0.0,0.0,F,1,1,F,Madrid,Palacio,Centro,40.41082,-3.71079,594.0,Private room,3,1,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,F,0.0
35192895,30643999,Kevin,0.0,0.0,F,1,1,T,Madrid,Canillejas,San Blas - Canillejas,40.43777,-3.60938,148.5,Private room,6,1,2,3,0,0,1,0,0,0,0,0,0,1,1,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,F,0.0
35176254,178735491,Fernando,0.0,0.0,F,1,1,T,Madrid,San Diego,Puente de Vallecas,40.39495,-3.66928,39.6,Private room,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35193153,39580984,Elías,0.0,0.0,F,1,1,T,Madrid,Palos de Moguer,Arganzuela,40.40437,-3.6904,118.8,Entire place,3,1,2,2,1,0,0,0,0,0,0,0,0,1,2,1125,8,5.0,5.0,5.0,4.88,5.0,5.0,5.0,T,T,0.22
35194535,265024119,Alberto,0.0,0.0,F,1,1,F,Madrid,Bellas Vistas,Tetuán,40.45257,-3.70645,1485.0,Private room,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35194725,265025131,Dagma,1.0,0.88,F,1,1,F,Madrid,Castillejos,Tetuán,40.46358,-3.69077,55.44,Entire place,2,1,1,1,1,0,1,0,0,1,0,0,1,4,5,90,18,4.72,4.89,4.72,4.89,4.89,4.89,4.72,T,F,0.51
35177106,47172033,Bàrbara,0.0,0.0,F,1,1,F,Madrid,Opañel,Carabanchel,40.39259,-3.72484,198.0,Private room,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35195027,265027565,Jose M.,0.0,0.0,F,1,1,T,Madrid,Valverde,Fuencarral - El Pardo,40.50533,-3.67103,29.7,Private room,2,1,1,1,1,0,0,0,0,1,0,0,0,2,1,1125,5,5.0,5.0,4.8,5.0,5.0,5.0,4.8,T,T,0.14
35177239,159403519,Javier,0.0,0.0,F,1,1,T,Madrid,Hispanoamérica,Chamartín,40.45569,-3.68938,1089.0,Private room,4,0,1,2,1,0,0,0,0,0,0,0,0,1,2,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35195433,77464567,Joseph,0.0,0.0,F,1,1,T,Madrid,Casco Histórico de Vallecas,Villa de Vallecas,40.36466,-3.60016,396.0,Private room,4,2,2,3,1,0,0,0,0,0,0,0,0,1,1,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35195453,24909741,Juan,0.0,0.0,F,1,1,F,Madrid,Rejas,San Blas - Canillejas,40.444,-3.59137,84.15,Entire place,6,2,3,3,1,0,1,0,0,1,0,0,0,3,1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35195487,105619327,Lorena,1.0,0.0,F,3,3,F,Madrid,El Pardo,Fuencarral - El Pardo,40.5195,-3.7785,495.0,Entire place,3,1,1,1,0,0,1,0,0,0,0,0,0,1,2,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,F,0.0
35177488,18234891,Edu,0.0,0.0,F,1,1,F,Madrid,San Pascual,Ciudad Lineal,40.444,-3.64845,495.0,Private room,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35196097,211151227,Ana,1.0,0.63,F,2,2,F,Madrid,Arapiles,Chamberí,40.43125,-3.70969,24.75,Private room,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1125,3,3.67,3.67,4.33,3.67,4.33,3.67,3.67,T,F,0.08
35178196,264912734,Fernando,0.0,0.0,F,1,1,T,Madrid,Hellín,San Blas - Canillejas,40.42898,-3.6133,594.0,Private room,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35196754,171759560,Carlos,1.0,0.99,F,1,1,T,Madrid,Palacio,Centro,40.41623,-3.70907,97.02,Entire place,4,1,1,2,1,0,1,0,0,0,0,1,1,4,2,99,210,4.72,4.77,4.58,4.82,4.89,4.99,4.74,T,T,5.75
35196758,144991627,Sonia,0.0,0.0,F,1,1,F,Madrid,Canillejas,San Blas - Canillejas,40.44341,-3.6093,247.5,Private room,1,1,1,1,1,0,1,0,0,0,0,0,0,2,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,F,0.0
35203690,264733456,Victor,0.0,0.0,F,1,1,F,Madrid,Comillas,Carabanchel,40.39596,-3.71411,792.0,Entire place,5,2,3,3,1,0,0,0,0,0,0,0,0,1,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35178492,235946636,Francisco,0.0,0.0,F,1,1,F,Madrid,Arcos,San Blas - Canillejas,40.42452,-3.61933,940.5,Private room,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35178521,264914998,Ana,0.0,0.0,F,1,1,F,Madrid,Rosas,San Blas - Canillejas,40.44743,-3.60449,495.0,Private room,2,2,1,1,1,0,1,0,0,0,0,0,0,2,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35207036,89523080,Ana,0.0,0.0,F,1,1,T,Madrid,Quintana,Ciudad Lineal,40.43486,-3.64787,64.35,Private room,3,1,1,1,1,0,0,0,0,0,0,0,0,1,3,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,F,0.0
35178958,264916693,Miguel,0.0,0.0,F,1,1,F,Madrid,Rejas,San Blas - Canillejas,40.44304,-3.58532,643.5,Private room,2,1,1,1,1,0,1,0,0,0,0,0,0,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35209554,265116656,Veronica,0.0,0.0,F,1,1,F,Madrid,Rejas,San Blas - Canillejas,40.44373,-3.58723,891.0,Private room,2,1,1,2,0,0,1,0,0,1,0,0,0,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,F,0.0
35179066,264918746,Mari,0.0,0.0,F,1,1,F,Madrid,Canillejas,San Blas - Canillejas,40.44315,-3.61253,495.0,Private room,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
